ID,HPRICE1,HSIZE,HNBATHR,HFLOOR,BUILDY,RILAK,NSCDIS,NPARK,URSUB,D_PMSP,D_PCBD,D_PRAILS
5844,10050,99.33,1,2,2006,0,0,0,0,601.0369333,1532,2457.707
5846,9670,113.11,1,2,2003,0,0,0,2,351.6869113,901,1826.514
5851,8070,74,1,3,2005,0,0,0,0,240.8798616,855,1780.541
5856,7830,107.28,1,7,2000,0,0,0,2,628.398416,1151,2076.604
5857,8090,65.08,1,1,1997,0,0,0,0,642.937948,1143,2068.282
5863,7370,152,1,10,2002,0,0,0,2,869.5547004,981,1906.725
5865,5830,104,1,3,2009,0,0,0,2,1339.166541,2315,3240.315
5869,8600,106,1,16,2005,0,0,0,0,627.2571913,902,1827.202
5871,9290,88.08,1,3,2006,0,0,0,0,269.759389,870,1795.126
5872,9290,110,1,9,2006,0,0,0,2,266.7271028,867,1792.919
5874,5960,93.97,1,1,2000,0,0,0,0,1514.498836,1593,2518.784
5877,4340,101,1,2,2007,0,0,0,0,2021.792044,2436,3361.657
5878,4740,100,1,4,2008,0,0,0,0,2013.947078,2458,3383.164
5882,8840,73,1,3,2003,0,0,0,0,1033.533622,1318,2243.709
5886,4510,56,1,10,2009,0,0,0,0,3853.652314,2084,3009.699
5887,4890,96.38,1,2,2005,0,0,0,2,3867.61535,2065,2990.956
5889,10060,133.32,2,1,2009,0,0,1,2,1352.6985,1197,2123.029
5890,10600,136,2,2,2010,0,0,1,0,1376.939934,1214,2139.117
5892,7120,280,2,6,2002,0,0,0,0,1230.201039,1135,2060.415
5894,10000,98,1,4,2004,0,0,0,2,1212.87696,1128,2053.797
5896,7730,180,3,6,2005,0,0,0,2,1102.714347,1568,2493.145
5899,9520,53.51,1,6,2009,0,0,0,0,1503.260128,1165,2090.429
5902,4860,42,1,4,1990,0,0,0,0,730.0561579,1978,2903.875
5903,8950,56,1,6,1989,0,0,0,0,518.5892001,983,1909.051
5905,8350,92,1,1,2000,0,0,0,0,497.3916337,978,1903.319
5907,8400,140,2,3,2010,0,0,0,0,8880.981976,4675,5600.603
5909,8420,130,2,4,2010,0,0,0,0,8833.669531,4694,5619.506
5915,9430,125,2,3,2006,0,0,0,0,1081.558467,1094,2020.081
5918,6530,55,1,5,2003,0,0,0,2,1159.955474,1529,2454.137
5919,7630,72,1,2,2004,0,0,0,2,1137.868324,1551,2477.029
5920,7140,78,1,3,2007,0,0,0,0,1158.674025,1566,2491.912
5921,7630,54,1,2,1988,0,0,1,0,388.8200027,1409,2334.566
5922,7700,75,1,2,1990,0,0,1,0,405.5011218,1423,2348.451
5923,8050,62,1,2,1990,0,0,1,2,359.3251245,1448,2374.042
5930,9690,117.68,1,3,2009,0,0,1,0,627.5861929,1097,2022.479
5932,6900,82.91,1,2,2007,0,0,1,0,594.6738459,1113,2038.493
5933,7050,82.91,1,10,2007,0,0,1,2,602.4528772,1106,2031.825
5935,6260,113.54,2,3,2007,0,0,1,0,627.4240908,1062,1988.033
5937,6720,113.54,2,14,2007,0,0,1,0,667.4362966,1068,1993.788
5938,6930,106.23,1,3,2007,0,0,1,0,680.5936028,1106,2031.768
5940,7220,115.48,2,5,2007,0,0,1,0,694.40969,1107,2032.273
5943,8550,157.41,2,18,2008,0,0,1,0,227.5376067,1036,1961.935
5944,8590,157.41,2,18,2008,0,0,1,2,204.1459491,1019,1945.051
5945,8590,157.41,2,18,2008,0,0,1,2,154.6853412,984,1909.45
5949,7280,88.34,1,10,2008,0,0,1,0,309.4353745,1095,2020.875
5950,7510,88.34,1,16,2008,0,0,1,0,308.2666144,1094,2020.021
5952,7130,109.54,1,7,2008,0,0,1,2,275.8957492,1071,1996.727
5957,7460,83.4,1,5,2008,0,0,1,2,139.6018887,973,1898.57
5958,7520,108.42,1,15,2008,0,0,1,0,122.3011973,961,1886.112
5959,10300,196.9,3,17,2009,0,0,1,0,401.660562,1228,2153.513
5962,9200,163.94,3,18,2009,0,0,1,0,424.0447218,1183,2109.086
5963,9200,163.94,3,18,2009,0,0,1,0,410.3961487,1192,2117.146
5966,11050,127.44,1,5,2009,0,0,1,0,312.2725779,1097,2022.915
5967,7820,141.02,2,16,2009,0,0,1,0,373.0881677,1141,2066.699
5968,7380,126.45,2,14,2009,0,0,1,2,375.0015897,1333,2259.061
5972,7250,119.46,2,2,2009,0,0,1,0,379.8885309,1278,2204.052
5973,7900,90.66,1,11,2009,0,0,1,0,393.0679164,1286,2212.036
5976,7960,90.66,1,15,2009,0,0,1,2,419.4620158,1182,2107.948
5977,7640,90.73,1,6,2009,0,0,1,0,428.1117094,1178,2103.468
5979,7560,90.72,1,3,2009,0,0,1,0,337.9508353,1277,2202.11
5980,8030,119.45,2,15,2009,0,0,1,0,342.662967,1280,2205.396
5984,11050,142.12,2,2,2009,0,0,1,0,309.7711725,1095,2021.074
5986,10530,87.81,1,5,2010,0,0,1,0,248.1135566,1051,1976.722
5987,10270,156.72,2,18,2010,0,0,1,0,260.6726141,1060,1985.722
5988,10340,157.32,2,19,2010,0,0,1,2,184.8362934,1006,1931.154
5992,9110,110,1,15,2010,0,0,1,2,530.3693805,1079,2004.373
5993,10250,146.18,2,15,2006,0,0,0,2,445.0788226,1215,2140.105
5998,10680,120,2,2,2008,0,0,0,0,1061.461613,1667,2812.926
