ID,N_type,Gender,Age,Stay,N_year,H_type,Education,Employ,H_price
592,1,1,66,26,13,1,3,3,440
594,1,1,42,23,17,2,3,1,840
595,1,1,37,12,12,1,3,1,430
596,1,2,29,17,13,1,3,1,300
597,1,1,38,21,15,1,3,1,240
598,1,2,62,25,13,1,2,3,430
599,1,1,72,13,13,1,2,3,580
600,1,2,42,19,11,1,2,1,300
601,1,2,23,15,15,2,3,1,260
602,1,1,58,26,15,1,1,1,260
603,1,1,66,66,12,1,1,3,210
604,1,1,65,22,8,1,2,3,550
605,3,2,55,16,3,1,3,3,390
606,3,1,26,12,7,2,3,1,450
607,3,2,50,19,8,1,3,1,520
609,4,1,61,22,9,1,3,3,210
610,4,2,40,16,8,1,3,1,220
611,4,2,28,15,11,1,3,1,260
612,4,1,73,30,15,1,2,3,210
613,4,2,65,28,15,1,3,3,590
614,4,2,71,26,11,1,1,3,320
615,4,2,81,31,14,1,3,3,220
616,4,1,28,15,10,2,3,1,270
617,4,1,28,15,10,2,4,1,470
618,4,1,29,13,8,2,4,1,320
619,4,2,24,14,10,2,3,1,290
621,4,2,92,31,10,1,3,3,430
622,4,2,24,17,14,2,3,1,840
623,2,2,39,unknown,10,1,3,2,330
624,2,1,43,43,10,1,2,1,260
625,2,1,23,11,7,2,3,2,560
626,2,1,22,12,8,2,3,1,530
627,2,2,35,17,11,1,3,1,270
628,2,1,58,23,11,1,1,3,180
629,2,1,84,28,9,1,1,3,280
630,2,2,65,19,4,1,3,3,220
633,4,2,32,19,15,1,4,1,640
634,4,1,31,15,9,2,2,1,590
635,4,1,25,12,8,2,4,1,320
636,4,1,19,18,17,2,3,2,260
637,4,1,64,26,13,1,4,3,500
638,4,1,28,15,11,2,4,1,500
639,4,2,24,14,11,2,4,1,290
640,4,2,27,17,14,2,4,1,260
641,4,2,23,14,11,2,2,1,210
642,4,1,66,22,7,1,2,3,130
644,4,2,22,15,12,2,3,1,290
675,4,2,33,17,11,1,3,1,850
676,4,2,35,16,10,2,3,1,490
678,2,2,26,8,8,1,2,1,350
679,2,1,35,19,14,1,3,1,190
680,2,2,51,19,8,1,1,3,130
681,2,2,58,58,4,1,1,3,150
682,3,1,37,14,6,1,3,1,440
683,1,2,32,19,14,1,3,1,390
684,1,1,42,16,16,1,4,1,300
685,1,2,41,22,16,1,3,1,620
686,1,1,68,34,22,1,1,3,200
687,1,1,75,32,17,1,1,3,290
688,1,2,28,18,14,2,2,1,320
689,1,1,37,21,16,1,3,1,310
690,1,2,69,29,16,1,2,3,170
691,1,1,36,22,17,1,4,1,360
692,1,2,24,19,17,2,3,1,200
693,1,1,53,24,14,1,2,1,400
694,1,1,68,23,8,1,1,3,190
695,1,2,71,32,19,1,1,3,200
696,1,1,35,19,13,1,3,1,400
697,1,2,42,22,15,1,2,1,400
698,1,1,36,20,14,1,2,1,270
699,1,1,52,21,10,1,3,1,370
